frame, fps
0, 6.41312
1, 5.30456
2, 5.41276
3, 5.47512
4, 5.5537
5, 5.58389
6, 5.55469
7, 5.64327
8, 5.52027
9, 5.60972
10, 5.60024
11, 5.64036
12, 5.58823
13, 5.52247
14, 5.57831
15, 5.60347
16, 5.5774
17, 5.38358
18, 5.56266
19, 5.51831
20, 5.57801
21, 5.56375
22, 5.55819
23, 5.5588
24, 5.58467
25, 5.53672
26, 5.54736
27, 5.58959
28, 5.57712
29, 5.57724
30, 5.60646
31, 5.60088
32, 5.56031
33, 5.5699
34, 5.42382
35, 5.36615
36, 5.46553
37, 5.39255
38, 5.26824
39, 5.35416
40, 5.4649
41, 5.44734
42, 5.47079
43, 4.67342
44, 5.05085
45, 5.43451
46, 5.47091
47, 5.47179
48, 5.55886
49, 5.53545
50, 5.59986
51, 5.61797
52, 5.55496
53, 5.56332
54, 5.55917
55, 5.57331
56, 5.57207
57, 5.59916
58, 5.54371
59, 5.5639
60, 5.57881
61, 5.61439
62, 5.61176
63, 5.55248
64, 5.5609
65, 5.63432
66, 5.12437
67, 5.45932
68, 5.59622
69, 5.52639
70, 5.58915
71, 5.09242
72, 5.18801
73, 5.09129
74, 5.48657
75, 5.57757
76, 5.56294
77, 5.55349
78, 5.51297
79, 5.59522
80, 5.57269
81, 5.5624
82, 5.56251
83, 5.62901
84, 5.60095
85, 5.52993
86, 5.57489
87, 5.61773
88, 5.60746
89, 5.62905
90, 5.5523
91, 5.52581
92, 5.61821
93, 5.57209
94, 5.57893
95, 5.56736
96, 5.45117
97, 5.55625
98, 5.58721
99, 5.47034
100, 5.5513
101, 5.62169
102, 5.53192
103, 5.61468
104, 5.58384
105, 5.65054
106, 5.61075
107, 5.5567
108, 5.61378
109, 5.60252
110, 5.62112
111, 5.6192
112, 5.58199
113, 5.49524
114, 5.59626
115, 5.58227
116, 5.59357
117, 5.58875
118, 5.54986
119, 5.55529
120, 5.66567
121, 5.54873
122, 5.5837
123, 5.51545
124, 5.5906
125, 5.64169
126, 5.55678
127, 5.54399
128, 5.6233
129, 5.61456
130, 5.52392
131, 5.51783
132, 5.44466
133, 5.48331
134, 5.57714
135, 5.43592
136, 5.50166
137, 5.53178
138, 5.50857
