time, vx, vy
0, 6.29657e-21, 9.20412e-20
1, 1.27998e-20, 1.89614e-19
2, 1.97477e-20, 3.00412e-19
3, 2.74653e-20, 4.38871e-19
4, 3.65319e-20, 6.42435e-19
5, 4.87895e-20, 1.07822e-18
6, 1.46948e-19, 1.06828e-17
7, 1.5862e-19, 1.06726e-17
8, 1.73272e-19, 1.06653e-17
9, 1.92299e-19, 1.06546e-17
10, 2.18225e-19, 1.06364e-17
11, 2.56028e-19, 1.0602e-17
12, 3.1726e-19, 1.05235e-17
13, 4.34392e-19, 1.02209e-17
14, 8.03059e-17, 7.23285e-16
15, 7.99653e-17, 7.23005e-16
16, 7.98784e-17, 7.22969e-16
17, 7.98229e-17, 7.22968e-16
18, 7.97737e-17, 7.22982e-16
19, 7.97217e-17, 7.23005e-16
20, 7.96595e-17, 7.23037e-16
21, 7.95756e-17, 7.2308e-16
22, 7.94409e-17, 7.23144e-16
23, 7.91342e-17, 7.23265e-16
24, 7.54304e-17, 7.24419e-16
25, 7.54887e-17, 7.2445e-16
26, 7.55274e-17, 7.24507e-16
27, 7.55787e-17, 7.24597e-16
28, 7.56721e-17, 7.24768e-16
29, 7.5991e-17, 7.25362e-16
30, 7.44799e-17, 7.22526e-16
31, 7.47804e-17, 7.23087e-16
32, 7.48645e-17, 7.2324e-16
33, 7.49079e-17, 7.23314e-16
34, 7.49359e-17, 7.23357e-16
35, 7.49563e-17, 7.23383e-16
36, 7.49728e-17, 7.23397e-16
37, 7.49875e-17, 7.23403e-16
38, 7.5002e-17, 7.234e-16
39, 7.50177e-17, 7.23389e-16
40, 7.50368e-17, 7.23367e-16
41, 7.50628e-17, 7.23331e-16
42, 7.51027e-17, 7.23272e-16
43, 7.51761e-17, 7.2316e-16
44, 7.53741e-17, 7.22867e-16
45, 8.17885e-17, 7.13662e-16
46, 8.17654e-17, 7.13676e-16
47, 8.17422e-17, 7.13686e-16
48, 8.17167e-17, 7.13694e-16
49, 8.16883e-17, 7.13701e-16
50, 8.16561e-17, 7.13706e-16
51, 8.16195e-17, 7.13711e-16
52, 8.15772e-17, 7.13713e-16
53, 8.15275e-17, 7.13714e-16
54, 8.14678e-17, 7.13712e-16
55, 8.13939e-17, 7.13706e-16
56, 8.12979e-17, 7.13694e-16
57, 8.11634e-17, 7.13673e-16
58, 8.09456e-17, 7.13633e-16
59, 8.0423e-17, 7.13541e-16
60, -5.43685e-16, 6.29857e-16
61, -5.44242e-16, 6.29258e-16
62, -5.43517e-16, 6.30215e-16
63, -5.43315e-16, 6.30583e-16
64, -5.43208e-16, 6.30916e-16
65, -5.43187e-16, 6.31403e-16
66, -5.44724e-16, 6.34758e-16
67, -5.43794e-16, 6.35815e-16
68, -5.44072e-16, 6.35469e-16
69, -5.44125e-16, 6.35403e-16
70, -5.44145e-16, 6.35378e-16
71, -5.44155e-16, 6.35367e-16
72, -5.44161e-16, 6.35363e-16
73, -5.44164e-16, 6.35362e-16
74, -5.44165e-16, 6.35363e-16
75, -5.44166e-16, 6.35366e-16
76, -5.44166e-16, 6.35369e-16
77, -5.44165e-16, 6.35374e-16
78, -5.44165e-16, 6.35378e-16
79, -5.44164e-16, 6.35383e-16
80, -5.44163e-16, 6.35389e-16
81, -5.44162e-16, 6.35394e-16
82, -5.44162e-16, 6.354e-16
83, -5.44161e-16, 6.35405e-16
84, -5.44161e-16, 6.35411e-16
85, -5.4416e-16, 6.35417e-16
86, -5.4416e-16, 6.35423e-16
87, -5.44161e-16, 6.35429e-16
88, -5.44162e-16, 6.35435e-16
89, -5.44164e-16, 6.3544e-16
90, -5.44166e-16, 6.35446e-16
91, -5.44169e-16, 6.35451e-16
92, -5.44174e-16, 6.35456e-16
93, -5.4418e-16, 6.3546e-16
94, -5.44189e-16, 6.35464e-16
95, -5.442e-16, 6.35467e-16
96, -5.44215e-16, 6.35469e-16
97, -5.44236e-16, 6.3547e-16
98, -5.44266e-16, 6.35467e-16
99, -5.44311e-16, 6.35461e-16
100, -5.44384e-16, 6.35445e-16
101, -5.44526e-16, 6.35409e-16
102, -5.4496e-16, 6.35285e-16
103, -3.67724e-16, 6.82129e-16
104, -3.67703e-16, 6.82141e-16
105, -3.67681e-16, 6.82154e-16
106, -3.67657e-16, 6.82168e-16
107, -3.67631e-16, 6.82182e-16
108, -3.67603e-16, 6.82196e-16
109, -3.67572e-16, 6.82211e-16
110, -3.67538e-16, 6.82226e-16
111, -3.67499e-16, 6.82242e-16
112, -3.67455e-16, 6.82259e-16
113, -3.67405e-16, 6.82276e-16
114, -3.67344e-16, 6.82294e-16
115, -3.67271e-16, 6.82313e-16
116, -3.67178e-16, 6.82333e-16
117, -3.67051e-16, 6.82353e-16
118, -3.66861e-16, 6.82375e-16
119, -3.66515e-16, 6.82399e-16
120, -3.65402e-16, 6.82438e-16
121, -3.83099e-16, 6.85782e-16
122, -3.82918e-16, 6.85866e-16
123, -3.82876e-16, 6.85912e-16
124, -3.82856e-16, 6.85954e-16
125, -3.82844e-16, 6.85999e-16
126, -3.82835e-16, 6.86049e-16
127, -3.82828e-16, 6.86106e-16
128, -3.82824e-16, 6.86175e-16
129, -3.82821e-16, 6.86264e-16
130, -3.82823e-16, 6.86388e-16
131, -3.82836e-16, 6.86599e-16
132, -3.82905e-16, 6.87223e-16
133, -3.82066e-16, 6.81509e-16
134, -3.82056e-16, 6.81612e-16
135, -3.82038e-16, 6.81689e-16
136, -3.82017e-16, 6.81788e-16
137, -3.81997e-16, 6.81948e-16
138, -3.82008e-16, 6.82355e-16
139, -3.95268e-16, 7.42329e-16
140, -3.94949e-16, 7.42341e-16
141, -3.90342e-16, 7.42392e-16
142, -3.90372e-16, 7.424e-16
143, -3.9038e-16, 7.42408e-16
144, -3.90385e-16, 7.42417e-16
145, -3.90389e-16, 7.42426e-16
146, -3.90392e-16, 7.42436e-16
147, -3.90396e-16, 7.42446e-16
148, -3.90399e-16, 7.42456e-16
149, -3.90402e-16, 7.42468e-16
150, -3.90406e-16, 7.4248e-16
151, -3.90409e-16, 7.42492e-16
152, -3.90413e-16, 7.42506e-16
153, -3.90417e-16, 7.42522e-16
154, -3.90421e-16, 7.42538e-16
155, -3.90425e-16, 7.42557e-16
156, -3.9043e-16, 7.42578e-16
157, -3.90435e-16, 7.42602e-16
158, -3.90439e-16, 7.42629e-16
159, -3.90444e-16, 7.42662e-16
160, -3.90449e-16, 7.42702e-16
161, -3.90453e-16, 7.42754e-16
162, -3.90455e-16, 7.42825e-16
163, -3.90452e-16, 7.42935e-16
164, -3.90433e-16, 7.43149e-16
165, -3.90292e-16, 7.44056e-16
166, -3.90464e-16, 7.43242e-16
167, -3.90529e-16, 7.43062e-16
168, -3.90587e-16, 7.42979e-16
169, -3.90652e-16, 7.42932e-16
170, -3.9074e-16, 7.42906e-16
171, -3.90885e-16, 7.42897e-16
172, -3.91235e-16, 7.42923e-16
173, -4.00257e-16, 7.44081e-16
174, -4.0025e-16, 7.44065e-16
175, -4.00249e-16, 7.44053e-16
176, -4.00249e-16, 7.44042e-16
177, -4.00249e-16, 7.44032e-16
178, -4.00249e-16, 7.44024e-16
179, -4.00248e-16, 7.44017e-16
180, -4.00248e-16, 7.4401e-16
181, -4.00247e-16, 7.44004e-16
182, -4.00247e-16, 7.43999e-16
183, -4.00246e-16, 7.43993e-16
184, -4.00245e-16, 7.43989e-16
185, -4.00244e-16, 7.43985e-16
186, -4.00244e-16, 7.4398e-16
187, -4.00243e-16, 7.43977e-16
188, -4.00242e-16, 7.43973e-16
189, -4.0024e-16, 7.4397e-16
190, -4.00239e-16, 7.43966e-16
191, -4.00238e-16, 7.43963e-16
192, -4.00237e-16, 7.4396e-16
193, -4.00235e-16, 7.43957e-16
194, -4.00234e-16, 7.43955e-16
195, -4.00232e-16, 7.43952e-16
196, -4.00231e-16, 7.43949e-16
197, -4.00229e-16, 7.43946e-16
198, -4.00228e-16, 7.43944e-16
199, -4.00226e-16, 7.43941e-16
200, -4.00224e-16, 7.43938e-16
201, -4.00222e-16, 7.43936e-16
202, -4.0022e-16, 7.43933e-16
203, -4.00218e-16, 7.4393e-16
204, -4.00216e-16, 7.43928e-16
205, -4.00214e-16, 7.43925e-16
206, -4.00212e-16, 7.43922e-16
207, -4.00209e-16, 7.43919e-16
208, -4.00206e-16, 7.43916e-16
209, -4.00204e-16, 7.43912e-16
210, -4.00201e-16, 7.43909e-16
211, -4.00198e-16, 7.43905e-16
212, -4.00194e-16, 7.43901e-16
213, -4.00191e-16, 7.43897e-16
214, -4.00187e-16, 7.43893e-16
215, -4.00182e-16, 7.43889e-16
216, -4.00178e-16, 7.43884e-16
217, -4.00172e-16, 7.43878e-16
218, -4.00167e-16, 7.43872e-16
219, -4.0016e-16, 7.43866e-16
220, -4.00153e-16, 7.43859e-16
221, -4.00144e-16, 7.43851e-16
222, -4.00134e-16, 7.43842e-16
223, -4.00122e-16, 7.43831e-16
224, -4.00107e-16, 7.43819e-16
225, -4.00089e-16, 7.43805e-16
226, -4.00065e-16, 7.43787e-16
227, -4.00033e-16, 7.43765e-16
228, -3.99986e-16, 7.43735e-16
229, -3.9991e-16, 7.43689e-16
230, -3.99758e-16, 7.43607e-16
231, -3.99212e-16, 7.43334e-16
232, -4.02921e-16, 7.45057e-16
233, -4.02771e-16, 7.4497e-16
234, -4.02762e-16, 7.44944e-16
235, -4.02782e-16, 7.44926e-16
236, -4.02823e-16, 7.44907e-16
237, -4.02888e-16, 7.44882e-16
238, -4.03001e-16, 7.44843e-16
239, -4.03262e-16, 7.44756e-16
240, -4.05515e-16, 7.43997e-16
241, -4.05422e-16, 7.44029e-16
242, -4.05399e-16, 7.44037e-16
243, -4.05388e-16, 7.44042e-16
244, -4.05381e-16, 7.44045e-16
245, -4.05376e-16, 7.44049e-16
246, -4.05371e-16, 7.44052e-16
247, -4.05367e-16, 7.44055e-16
248, -4.05363e-16, 7.44059e-16
249, -4.0536e-16, 7.44062e-16
250, -4.05357e-16, 7.44066e-16
251, -4.05354e-16, 7.4407e-16
252, -4.05351e-16, 7.44075e-16
253, -4.05348e-16, 7.4408e-16
254, -4.05344e-16, 7.44085e-16
255, -4.05341e-16, 7.44092e-16
256, -4.05338e-16, 7.44099e-16
257, -4.05333e-16, 7.44108e-16
258, -4.05328e-16, 7.4412e-16
259, -4.05321e-16, 7.44135e-16
260, -4.05307e-16, 7.44158e-16
261, -4.05273e-16, 7.44202e-16
262, -4.05059e-16, 7.44348e-16
263, -4.18304e-16, 7.41017e-16
264, -4.18262e-16, 7.41028e-16
265, -4.1825e-16, 7.41031e-16
266, -4.18242e-16, 7.41033e-16
267, -4.18236e-16, 7.41034e-16
268, -4.1823e-16, 7.41036e-16
269, -4.18225e-16, 7.41037e-16
270, -4.18219e-16, 7.41038e-16
